SoundWel category,QBA candidate labels,OAAS1,OAAS2,OAAS3,d_to_OAAS_POS,d_to_OAAS_NEG,delta_POS_minus_NEG,OAAS bias
AfterNursing,"content, relaxed, calm",-0.08308242458722509,2.8483888784353146,0.2750814400394124,2.6548,3.1822,-0.5274,POS-biased
Barren,"bored, uneasy, frustrated",-1.303691811927154,0.6592986752845327,0.02825665067057545,1.1842,2.1011,-0.9169,POS-biased
BeforeNursing,"expectant, alert, interested",-0.2938216599779173,3.017537691572768,0.13918522047081755,2.8168,3.3086,-0.4918,POS-biased
Castration,"distressed, fearful, agitated",0.6483016283046137,3.341971560180471,-0.0037186006708625,3.2582,3.5184,-0.2602,POS-biased
Crushing,"distressed, fearful, agitated",0.4278019729382152,2.9072980574108103,0.09096657416820794,2.7805,3.1341,-0.3536,POS-biased
Enriched,"relaxed, content, curious",-1.021000519059844,1.4156885263049306,0.16335888344628513,1.4583,2.3313,-0.873,POS-biased
Fighting,"agitated, frustrated, tense",0.33923738308089535,2.676249869950163,0.02411961552603295,2.5368,2.8938,-0.357,POS-biased
Huddling,"calm, relaxed, content",-0.28060318590983824,2.2746563002088154,0.11588300588414135,2.0737,2.6443,-0.5706,POS-biased
LongIsolation,"anxious, fearful, distressed",0.22841954024911887,2.053183944156107,0.12919384044965682,1.9035,2.3954,-0.4919,POS-biased
MissedNursing,"distressed, uneasy, frustrated",-0.1102367738011859,2.734395879806116,0.1437010966322649,2.5347,3.0267,-0.492,POS-biased
NegativeConditioning,"anxious, fearful, uneasy",-1.6159368631492783,0.09066746490191721,0.04562491904937535,1.4075,2.2755,-0.868,POS-biased
NovelObject,"curious, interested, alert",0.2202691250787325,1.107815834771213,-0.0326940263968641,1.0146,1.558,-0.5434,POS-biased
PositiveConditioning,"content, confident, relaxed",-1.6282264903645356,0.27695217833155417,0.10122877936435595,1.4159,2.3276,-0.9117,POS-biased
Restrain,"anxious, fearful, agitated",0.7936762711520284,3.0105195028639242,-0.11321490750598276,2.9922,3.1898,-0.1976,POS-biased
Run,"active, playful, excited",-0.7956623561839257,1.9884008176716943,0.06668683245878225,1.879,2.5586,-0.6796,POS-biased
ShortIsolation,"anxious, alert, uneasy",0.07002108496432345,1.866504140067802,0.1290665416555929,1.6887,2.2519,-0.5632,POS-biased
ShortReunion,"content, relaxed, positive",0.33623463345330307,3.0987538012131335,0.2198099719276851,2.9506,3.3593,-0.4087,POS-biased
Surprise,"alert, anxious, uneasy",-0.637847418600486,1.124501346229115,0.059627317833305396,1.0162,1.8912,-0.875,POS-biased
