context,vOAAS1,vOAAS2,vOAAS3,d_pos,d_neg,delta_pos_minus_neg,bias
BeforeNursing,-0.17661082962830382,1.1376987066063906,-1.018266712758509,0.7605256309793993,2.7107304882376884,-1.950204857258289,POS-biased
PositiveConditioning,-3.5182495816077175,-0.924885408300042,-0.7480438432212855,3.2707492272128116,5.0978336998196925,-1.827084472606881,POS-biased
Surprise,-2.249873380400567,0.6768640229777358,0.5377717860617968,2.07282586527779,3.8731941918692643,-1.8003683265914745,POS-biased
NegativeConditioning,-3.594737123917902,-1.0690834955197919,-0.4966907433039824,3.4148351682181546,5.135548598628563,-1.7207134304104081,POS-biased
Huddling,-0.23675131348540818,0.7683568220760217,-0.3583183004235747,0.5665033097122806,2.240244912285082,-1.6737416025728011,POS-biased
AfterNursing,-0.12044057941759162,2.1596554881388483,-0.7103187708675576,1.6506557743321315,3.289573630511858,-1.6389178561797266,POS-biased
Enriched,-1.812673404177451,-0.8133256980993299,-0.5869643728168832,1.846257807226326,3.404361129889174,-1.5581033226628478,POS-biased
Barren,-2.6775533770805477,-1.267947191569744,-0.3151114697913092,2.8032567286547208,4.23791563475934,-1.4346589061046195,POS-biased
MissedNursing,-0.03247053981047723,1.019975773337449,-0.3482805806091255,0.8252362869997039,2.2527390250493355,-1.4275027380496317,POS-biased
Run,-0.6863372353411598,-1.351834154443547,-0.6369376605733024,1.9413638636790786,2.5016748657139516,-0.5603110020348729,POS-biased
NovelObject,-1.1117103331088916,0.48970626076369883,2.648009148767731,3.421465986018279,3.5398535114052527,-0.11838752538697372,POS-biased
ShortIsolation,-0.22554338542459745,0.041457974309391916,1.339838113992697,2.1816467269239714,1.9848896895313846,0.19675703739258688,NEG-biased
ShortReunion,2.601699362999976,1.7390049646579784,-1.2772609588341228,3.4618761492072307,3.0475815350251825,0.41429461418204827,NEG-biased
LongIsolation,0.37384091343028225,0.3830388248812313,1.2679161371151955,2.244956463991956,1.637805930750184,0.6071505332417722,NEG-biased
Fighting,1.4016752552172371,0.2713125899703875,0.5933370525542233,2.437763261085337,0.8137404263845605,1.6240228347007764,NEG-biased
Castration,4.78990210321373,-1.2915818022220842,-0.6316302383131935,5.724770706689885,3.5977138535226216,2.127056853167263,NEG-biased
Restrain,5.092133729251422,-1.6096956087798238,0.25569812072606923,6.196877923413168,3.822390872050209,2.374487051362959,NEG-biased
Crushing,2.1836997192879664,-0.3587180687847711,0.48525329229513375,3.1983508662391436,0.7735266822413499,2.4248241839977935,NEG-biased
